                             Datetime,open,high,low,close,volume,Interval,currency,exchange_timezone,exchange
25-08-2021 12:38,148.3773,148.39999,148.3582,148.375,80231,1min,USD,America/New_York,Common Stock
25-08-2021 12:37,148.41499,148.44,148.35001,148.3699,84869,1min,USD,America/New_York,Common Stock
25-08-2021 12:36,148.3307,148.425,148.27,148.41991,167064,1min,USD,America/New_York,Common Stock
25-08-2021 12:35,148.36,148.38,148.33839,148.34,84633,1min,USD,America/New_York,Common Stock
25-08-2021 12:34,148.33791,148.38989,148.33009,148.35989,104352,1min,USD,America/New_York,Common Stock
25-08-2021 12:33,148.27,148.34,148.27,148.33501,109845,1min,USD,America/New_York,Common Stock
25-08-2021 12:32,148.27,148.2717,148.245,148.27,74000,1min,USD,America/New_York,Common Stock
25-08-2021 12:31,148.25861,148.298,148.25011,148.2701,66203,1min,USD,America/New_York,Common Stock
25-08-2021 12:30,148.2301,148.27991,148.21001,148.25011,98703,1min,USD,America/New_York,Common Stock
25-08-2021 12:29,148.23,148.25,148.22009,148.2397,82726,1min,USD,America/New_York,Common Stock
25-08-2021 12:28,148.13831,148.23,148.13499,148.22501,90047,1min,USD,America/New_York,Common Stock
25-08-2021 12:27,148.14999,148.155,148.1115,148.13789,59174,1min,USD,America/New_York,Common Stock
25-08-2021 12:26,148.185,148.185,148.1219,148.145,54836,1min,USD,America/New_York,Common Stock
25-08-2021 12:25,148.155,148.21001,148.13,148.1801,80081,1min,USD,America/New_York,Common Stock
25-08-2021 12:24,148.12,148.158,148.11501,148.1577,57546,1min,USD,America/New_York,Common Stock
25-08-2021 12:23,148.155,148.16,148.11,148.11,91702,1min,USD,America/New_York,Common Stock
25-08-2021 12:22,148.145,148.15691,148.13,148.15691,67566,1min,USD,America/New_York,Common Stock
25-08-2021 12:21,148.18179,148.18719,148.14999,148.14999,96686,1min,USD,America/New_York,Common Stock
25-08-2021 12:20,148.16499,148.2,148.1532,148.175,102433,1min,USD,America/New_York,Common Stock
25-08-2021 12:19,148.13,148.16991,148.1022,148.16991,72513,1min,USD,America/New_York,Common Stock
25-08-2021 12:18,148.11,148.13499,148.1001,148.12,73540,1min,USD,America/New_York,Common Stock
25-08-2021 12:17,148.145,148.14999,148.08009,148.11,95788,1min,USD,America/New_York,Common Stock
25-08-2021 12:16,148.14,148.2,148.13499,148.14,163187,1min,USD,America/New_York,Common Stock
25-08-2021 12:15,148.12,148.14999,148.07001,148.14999,143119,1min,USD,America/New_York,Common Stock
25-08-2021 12:14,148.20399,148.205,148.08,148.12,254365,1min,USD,America/New_York,Common Stock
25-08-2021 12:13,148.28999,148.28999,148.1825,148.2007,134525,1min,USD,America/New_York,Common Stock
25-08-2021 12:12,148.32001,148.32001,148.25999,148.2897,86431,1min,USD,America/New_York,Common Stock
25-08-2021 12:11,148.315,148.33,148.30499,148.315,113561,1min,USD,America/New_York,Common Stock
25-08-2021 12:10,148.28999,148.315,148.28,148.31,81640,1min,USD,America/New_York,Common Stock
25-08-2021 12:40,148.405,148.41,148.28999,148.31,151793,5min,USD,America/New_York,Common Stock
25-08-2021 12:35,148.36,148.44,148.27,148.405,497953,5min,USD,America/New_York,Common Stock
25-08-2021 12:30,148.2301,148.38989,148.21001,148.35989,453103,5min,USD,America/New_York,Common Stock
25-08-2021 12:25,148.155,148.25,148.1115,148.2397,366864,5min,USD,America/New_York,Common Stock
25-08-2021 12:20,148.16499,148.2,148.11,148.1577,415933,5min,USD,America/New_York,Common Stock
25-08-2021 12:15,148.12,148.2,148.07001,148.16991,548147,5min,USD,America/New_York,Common Stock
25-08-2021 12:10,148.28999,148.33,148.08,148.12,670522,5min,USD,America/New_York,Common Stock
25-08-2021 12:05,148.265,148.3,148.2,148.28999,398678,5min,USD,America/New_York,Common Stock
25-08-2021 12:00,148.255,148.2899,148.14999,148.2601,558930,5min,USD,America/New_York,Common Stock
25-08-2021 11:55,148.3,148.35001,148.25,148.2569,396308,5min,USD,America/New_York,Common Stock
25-08-2021 11:50,148.31821,148.39,148.3,148.31,342885,5min,USD,America/New_York,Common Stock
25-08-2021 11:45,148.345,148.37,148.215,148.3125,428043,5min,USD,America/New_York,Common Stock
25-08-2021 11:40,148.21001,148.41,148.17999,148.3457,638900,5min,USD,America/New_York,Common Stock
25-08-2021 11:35,148.41991,148.41991,148.19,148.19501,579800,5min,USD,America/New_York,Common Stock
25-08-2021 11:30,148.5,148.548,148.37,148.4109,394614,5min,USD,America/New_York,Common Stock
25-08-2021 11:25,148.3719,148.57001,148.33,148.505,559625,5min,USD,America/New_York,Common Stock
25-08-2021 11:20,148.5901,148.60001,148.34,148.375,577085,5min,USD,America/New_York,Common Stock
25-08-2021 11:15,148.5901,148.715,148.53011,148.5983,554762,5min,USD,America/New_York,Common Stock
25-08-2021 11:10,148.53999,148.62,148.42,148.59,551476,5min,USD,America/New_York,Common Stock
25-08-2021 11:05,148.57001,148.64999,148.42999,148.53999,645882,5min,USD,America/New_York,Common Stock
25-08-2021 11:00,148.39999,148.64,148.39,148.58501,676816,5min,USD,America/New_York,Common Stock
25-08-2021 10:55,148.565,148.6563,148.32001,148.395,1084967,5min,USD,America/New_York,Common Stock
25-08-2021 10:50,148.21001,148.57001,148.17,148.569,1184559,5min,USD,America/New_York,Common Stock
25-08-2021 10:45,148.28,148.30499,148.1205,148.2084,904085,5min,USD,America/New_York,Common Stock
25-08-2021 10:40,148.47,148.4781,148.16499,148.2886,1207293,5min,USD,America/New_York,Common Stock
25-08-2021 10:35,148.59,148.63499,148.39,148.47,845467,5min,USD,America/New_York,Common Stock
25-08-2021 10:30,148.63,148.735,148.42,148.58,1118462,5min,USD,America/New_York,Common Stock
25-08-2021 10:25,148.84,148.88,148.535,148.62019,1010173,5min,USD,America/New_York,Common Stock
25-08-2021 10:20,149.075,149.13499,148.77,148.84,1076995,5min,USD,America/New_York,Common Stock
25-08-2021 10:15,149.0076,149.2,149,149.08,870194,5min,USD,America/New_York,Common Stock
25-08-2021 15:37,148.565,148.6183,148.565,148.61,115225,1min,USD,America/New_York,Common Stock
25-08-2021 15:36,148.56,148.57001,148.53999,148.5699,107237,1min,USD,America/New_York,Common Stock
25-08-2021 15:35,148.5,148.56,148.5,148.56,167634,1min,USD,America/New_York,Common Stock
25-08-2021 15:34,148.44189,148.5,148.44,148.495,109018,1min,USD,America/New_York,Common Stock
25-08-2021 15:33,148.4901,148.52,148.44,148.44991,182747,1min,USD,America/New_York,Common Stock
